protein_annotation	regex_label	manual_label	label_id
Putative prophage repressor protein ( phage repressor protein cI)	proper	proper	2
WGS project CAEQ00000000 data, annotated contig 2446	proper	uninformative	0
Putative ATPase YjoB	proper	proper	2
Predicted RecA/RadA family phage recombinase	proper	proper	2
DUF3277 family protein	low informative	low	1
O-fucosyltransferase family protein	proper	proper	2
UDP-galactose-4-epimerase	proper	proper	2
Unplaced genomic scaffold scaffold_87, whole genome shotgun sequence	uninformative	uninformative	0
Prim_Zn_Ribbon domain-containing protein	proper	proper	2
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	proper	proper	2
Double zinc ribbon	proper	proper	2
Replication factor C / DNA polymerase III gamma-tau subunit isoform 2	proper	proper	2
DEAD-box family helicase	proper	proper	2
Putative Antirepressor	proper	proper	2
NADH:flavorubredoxin reductase NorW	proper	proper	2
DUF3102 domain-containing protein	low informative	low	1
Putative phage major capsid protein, gp36	proper	proper	2
ORC1-type DNA replication protein	proper	proper	2
Gp20	uninformative	uninformative	0
Phage protein GP46	uninformative	uninformative	0
Heme-bound 3',5'-cyclic-nucleotide phosphodiesterase (Direct oxygen sensor protein)	proper	proper	2
Uncharacterized protein orf412	uninformative	uninformative	0
dCTP deaminase/dUTP pyrophosphatase	proper	proper	2
Cupin 2, conserved barrel	proper	proper	2
DUF45 domain-containing protein	low informative	low	1
Phage membrane protein	low informative	low	1
Potassium channel subfamily K member 4	proper	proper	2
ORF	proper	uninformative	0
SPP1 family phage portal protein	proper	proper	2
uncharacterized protein LOC108838554	uninformative	uninformative	0
Ribonucleotide reductase catalytic subunit M1	proper	proper	2
MoxR family ATPase	proper	proper	2
Uncharacterized protein DUF1064	low informative	low	1
T-lymphocyte surface antigen Ly-9-like isoform X1	proper	proper	2
Deoxyribose-phosphate aldolase-like	proper	proper	2
Flavivirus DEAD domain/DNA replication factor Dna2	proper	proper	2
Thymidylat_synt domain-containing protein	proper	proper	2
Prophage pi2 protein 39	proper	uninformative	0
Phage-related minor capsid protein (Gpg protein)	proper	proper	2
Type II secretion system protein GspD	proper	proper	2
Glutamic acid-rich protein	proper	low	1
Tubulin gamma chain	proper	proper	2
uncharacterized protein LOC112057632	uninformative	uninformative	0
Class IV adenylate cyclase	proper	proper	2
Putative prophage head-tail adaptor	proper	proper	2
Bulb-type lectin domain-containing protein	proper	proper	2
TerC family protein, ortholog of stress responce protein	proper	proper	2
GpH	proper	uninformative	0
COG2932: Predicted transcriptional regulator	proper	proper	2
T4 prohead core scaffold protein	proper	proper	2
Periplasmic copper-binding protein (NosD)	proper	proper	2
Similar to Saccharomyces cerevisiae YLR059C REX2 3'-5' RNA exonuclease	proper	proper	2
Capsular polysaccharide biosynthesis protein	proper	proper	2
uncharacterized protein LOC116297923	uninformative	uninformative	0
host cell factor 2-like isoform X2	proper	proper	2
Probable endopeptidase p60	proper	proper	2
Virulence-associated protein E, putative	proper	proper	2
COG4626: Phage terminase-like protein, large subunit	proper	proper	2
Probable RNA methyltransferase PA1839	proper	proper	2
Peptide chain release factor H	proper	proper	2
D-fructose-6-phosphate amidotransferase	proper	proper	2
Phosphopantothenate--cysteine ligase isoform X1	proper	proper	2
Potassium transporter Kef	proper	proper	2
RliB protein	proper	proper	2
SNF2 family N-terminal domain/Helicase conserved C-terminal domain/HNH endonuclease, putative	proper	proper	2
Gp157 family protein	uninformative	uninformative	0
Gp33 TerL	proper	proper	2
Riox1 protein	proper	proper	2
Putative bacteriophage protein GP26	uninformative	uninformative	0
Putative flagellar modification protein FlaG/FlmH	proper	proper	2
DNA topoisomerase type II	proper	proper	2
Nvl protein	proper	proper	2
Orotidine-5'-phosphate decarboxylase	proper	proper	2
Cell Wall Hydrolase	proper	proper	2
Ribonucleosidetriphosphate reductase, adenosylcobalamin-dependent	proper	proper	2
Nucleoside triphosphatase, D5 family	proper	proper	2
Peptidase C26	proper	proper	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog isoform X2	proper	proper	2
Helicase, RecD/TraA family	proper	proper	2
VWA-like domain	proper	proper	2
Head-to-tail joining protein, putative	proper	proper	2
DNA polymerase-3 subunit beta	proper	proper	2
KLHL3	proper	proper	2
HAD hydrolase-like protein	proper	proper	2
Murein-DD-endopeptidase	proper	proper	2
Mu-like prophage FluMu protein gp47	proper	proper	2
Viral (Superfamily 1) RNA helicase (Modular protein)	proper	proper	2
YALI0C09658p	proper	uninformative	0
Complex I NDUFA9 subunit family protein	proper	proper	2
DUF551 domain-containing protein	low informative	low	1
ATP-dependent helicase fft3	proper	proper	2
Phage major tail subunit	proper	proper	2
Probable bacteriophage protein	uninformative	uninformative	0
MgsA AAA+ ATPase family protein	proper	proper	2
Phage baseplate	proper	proper	2
Secretion system protein	proper	proper	2
Putative nucleic acid-binding protein skin element	proper	proper	2
Peroxisome assembly factor 2	proper	proper	2
Putative A1pp-domain-containing protein	proper	proper	2
Phage integrase protein (Modular protein)	proper	proper	2
1,5-anhydro-D-fructose reductase	proper	proper	2
Intein-containing DNA gyrase subunit B	proper	proper	2
Transposase, IS204/IS1001/IS1096/IS1165	proper	proper	2
Lysozyme-like domain-containing protein	proper	proper	2
Protein YdiA	proper	proper	2
Phage protein, replisome organiser	proper	proper	2
Cell division protein ZapE	proper	proper	2
Putative alpha-protein kinase 1	proper	proper	2
Type IV methyl-directed restriction enzyme	proper	proper	2
nudix hydrolase 20, chloroplastic-like isoform X5	proper	proper	2
Uncharacterized protein containing caspase domain	proper	proper	2
Gamma-glutamylcyclotransferase family protein ytfP	proper	proper	2
Gp23	uninformative	uninformative	0
uncharacterized protein LOC107457758	uninformative	uninformative	0
SNF2P	proper	proper	2
Phage anti-repressor protein	proper	proper	2
RNase adapter protein RapZ	proper	proper	2
Transcriptional regulator, LuxR family protein	proper	proper	2
7-cyano-7-deazaguanine synthase QueC	proper	proper	2
EAL domain-containing protein (Putative c-di-GMP-specific phosphodiesterase class I)	proper	proper	2
YfaP family protein	proper	proper	2
M23B-like protein peptidase	proper	proper	2
Chaperonin-like protein Hsp-60, mitochondrial	proper	proper	2
Putative phage-related protein	uninformative	uninformative	0
Phage late control gene d protein (Gpd)	proper	proper	2
Flp pilus assembly protein, secretin CpaC	proper	proper	2
DNA damage checkpoint control protein RAD17	proper	proper	2
Deoxynucleoside monophosphate kinase	proper	proper	2
Phosphoethanolamine N-methyltransferase 2	proper	proper	2
QueC protein	proper	proper	2
5'-deoxynucleotidase PBPRA2627	proper	proper	2
AAA_assoc domain-containing protein	proper	proper	2
Putative DNA protecting protein DprA	proper	proper	2
Thymidylate synthase flavin-dependent	proper	proper	2
Phage repressor like XRE family transcriptional regulator	proper	proper	2
Phage-like element PBSX protein xkdE	proper	proper	2
DnaJ -like protein subfamily B member 1	proper	proper	2
Membrane-anchored cell surface protein	proper	proper	2
Periplasmic divalent cation tolerance protein cutA	proper	proper	2
Rna recognition motif-containing protein	proper	proper	2
Putative Site-specific recombinase XerD	proper	proper	2
Chaperonin cpn60-2 mitochondrial	proper	proper	2
ATPase, AAA-type, CDC48	proper	proper	2
Pyrimidine reductase family protein	proper	proper	2
PRPS1 isoform 4	proper	proper	2
Toxic anion resistance protein	proper	proper	2
Gp47 phage protein	proper	uninformative	0
Type I fatty acid synthase, putative	proper	proper	2
Putative metal-dependent phosphohydrolase	proper	proper	2
F-box only protein 42	proper	proper	2
Late control gene D protein GpD	proper	proper	2
DUF3427 domain-containing protein	low informative	low	1
Asparagine synthase (glutamine-hydrolyzing)	proper	proper	2
Cupin region	proper	proper	2
Tail assembly chaperone	proper	proper	2
ATP-binding protein p271	proper	proper	2
Kelch like family member 18	proper	proper	2
dCMP deaminase, putative	proper	proper	2
Voltage-dependent calcium channel subunit alpha-2/delta-1	proper	proper	2
Ig domain protein group 2 domain protein	proper	proper	2
Pspto3096-like protein	proper	uninformative	0
Phage tail fibre repeat protein	proper	proper	2
LysM repeat-containing protein	proper	proper	2
RRM2B isoform 3	proper	proper	2
HlyD family secretion protein	proper	proper	2
kelch-like protein 12 isoform X1	proper	proper	2
Lipase (Class 3)	proper	proper	2
Dna polymerase i	proper	proper	2
VAT-2 protein	proper	proper	2
DNA endonuclease	proper	proper	2
CPXV215	proper	uninformative	0
Methyl-accepting chemotaxis protein PctC	proper	proper	2
Ferric uptake regulation protein	proper	proper	2
DNA helicase, phage-associated Type III restriction enzme	proper	proper	2
Phage essential recombination function protein	proper	proper	2
Lin1290 protein	uninformative	uninformative	0
Bll1367 protein	proper	uninformative	0
5'-deoxynucleotidase EDC44_10754	proper	proper	2
Gamma-glutamylcyclotransferase, AIG2-like protein	proper	proper	2
NB-ARC domain-containing protein	proper	proper	2
Phage portal protein, lambda	proper	proper	2
Bacteriophage protein homolog	proper	uninformative	0
F-box/kelch-repeat protein SKIP4	proper	proper	2
Putative Hsp20 family chaperone	proper	proper	2
SAM-dependent DNA methyltransferase	proper	proper	2
Gp36	uninformative	uninformative	0
Gp26, putative	proper	uninformative	0
Short-chain dehydrogenase/reductase family protein	proper	proper	2
Methyltransferase type 11 (Modular protein)	proper	proper	2
Putative Integral membrane protein, TerC family	proper	proper	2
NaMN:DMB phosphoribosyltransferase	proper	proper	2
Kelch 35	proper	proper	2
WD repeat-containing protein 53	proper	proper	2
WD-40 repeat protein	proper	low	1
Na+/H+ exchanger 1	proper	proper	2
Putative hypothetical bacteriophage protein	uninformative	uninformative	0
Orf451	uninformative	uninformative	0
Probable phage repressor protein	proper	proper	2
Tail component of prophage CP-933X	proper	proper	2
Aste57867_15225 protein	proper	uninformative	0
Sulfate transporter	proper	proper	2
Phage head-tail connector protein	proper	proper	2
Kelch-like protein 7	proper	proper	2
DUF1024 family protein	low informative	low	1
Gluconokinase	proper	proper	2
DUF2597 domain-containing protein	low informative	low	1
Glucosamine/fructose-6-phosphate aminotransferase, isomerizing	proper	proper	2
Putative glutamine amidotransferase-like protein YvdE	proper	proper	2
DRTS protein	proper	proper	2
Proliferating cell nuclear antigen, PCNA	proper	proper	2
HK97 family phage protein	uninformative	uninformative	0
uncharacterized protein LOC107800652	uninformative	uninformative	0
Eukaryotic initiation factor 4A-III	proper	proper	2
Uncharacterized protein (UPF0332 family)	low informative	low	1
Putative small membrane lipoprotein	proper	low	1
Conserved hypothetical membrane protein	proper	low	1
GL25124	proper	uninformative	0
Bacterial group 2 Ig-like protein	proper	proper	2
DnaB-like helicase C-terminal domain protein	proper	proper	2
uncharacterized protein LOC114847662 isoform X2	proper	uninformative	0
Ribosomal protein S27E	proper	proper	2
Putative phosphoadenosine phosphosulfate reductase	proper	proper	2
DgyrCDS1940	proper	uninformative	0
(rape) hypothetical protein	uninformative	uninformative	0
Cysteine sulfinate desulfinase cysteine desulfurase	proper	proper	2
Autotransporter adhesin	proper	proper	2
Lambda family phage portal protein	proper	proper	2
TerD family stress response protein	proper	proper	2
Reducing polyketide synthase FUB1	proper	proper	2
Lactonase family protein	proper	proper	2
Putative chaperone protein DNAj	proper	proper	2
Peptide chain release factor RF1	proper	proper	2
O-acetyl-ADP-ribose deacetylase MACROD2	proper	proper	2
Phage-like element PBSX protein XkdQ	proper	proper	2
Hca operon transcriptional activator HcaR	proper	proper	2
Phage-related endonuclease	proper	proper	2
Flotillin-like protein 2	proper	proper	2
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	proper	proper	2
nudix hydrolase 20, chloroplastic-like isoform X3	proper	proper	2
Mannose-1-phosphate guanylyltransferase	proper	proper	2
Hypothetical transport protein	proper	proper	2
60S ribosomal protein L23	proper	proper	2
PF09979 family protein	proper	low	1
Nucleic acid-binding protein	proper	proper	2
Putative Lipopolysaccharide N-acetylglucosaminyltransferase	proper	proper	2
LAS superfamily LD-carboxypeptidase LdcB	proper	proper	2
DNA replication protein dnaC	proper	proper	2
ApaG domain-containing protein	proper	proper	2
DUF2500 domain-containing protein	low informative	low	1
Probable chromosome partitioning protein parB	proper	proper	2
1-deoxypentalenic acid 11-beta-hydroxylase	proper	proper	2
Phage terminase large subunit GpA-like protein	proper	proper	2
Putative glutamine amidotransferase-like protein RP404	proper	proper	2
Putative Prophage antirepressor	proper	proper	2
Putative Serine/threonine protein phosphatase	proper	proper	2
Kelch repeat-containing protein 2	proper	proper	2
Ribose-phosphate pyrophosphokinase 1	proper	proper	2
Nadph quinone reductase, zeta-crystallin family protein oxidoreductase protein	proper	proper	2
HAD-superfamily hydrolase, subfamily IA, variant 3	proper	proper	2
ribonucleoside-diphosphate reductase subunit M2 B isoform X1	proper	proper	2
Circadian clock protein KaiB	proper	proper	2
PHB domain-containing protein	proper	proper	2
Putative lysozyme subfamily protein 2	proper	proper	2
Cell Wall hydrolase	proper	proper	2
Transcription regulator iclr n-terminal	proper	proper	2
Chitinase 4	proper	proper	2
Major capsid protein Gp5	proper	proper	2
AraC-type DNA-binding protein	proper	proper	2
Putative phosphoesterase, dhha1	proper	proper	2
Kelch-like protein 35	proper	proper	2
5'-deoxynucleotidase FJW01_06410	proper	proper	2
RF-1 domain protein	proper	proper	2
Peptidase S14, ClpP	proper	proper	2
Probable serine/threonine-protein kinase	proper	proper	2
Bacteriophage Mu tail sheath protein GpL family protein	proper	proper	2
Diamine N-acetyltransferase	proper	proper	2
Kelch repeat and BTB domain-containing protein 12	proper	proper	2
DinG family ATP-dependent helicase YoaA	proper	proper	2
GMP synthase-like glutamine amidotransferase	proper	proper	2
Recombination protein51 gene c	proper	proper	2
Putative RecF/RecN/SMC domain contining protein	proper	proper	2
SIR2 family protein	proper	proper	2
Serine/threonine-protein kinase Nek6-like	proper	proper	2
protein mono-ADP-ribosyltransferase PARP9 isoform X4	proper	proper	2
Ribonucleotide reductase M1 polypeptide	proper	proper	2
uncharacterized protein LOC113082488	uninformative	uninformative	0
DNA helicase B	proper	proper	2
Metal dependent phosphohydrolase	proper	proper	2
Phage putative head morphogenesis protein, SPP1 gp7 family (Modular protein)	proper	proper	2
uncharacterized protein LOC106169280	uninformative	uninformative	0
tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	proper	proper	2
Glutathione-regulated potassium-efflux system protein KefC	proper	proper	2
Kelch-like protein 41	proper	proper	2
uncharacterized protein LOC109505357	uninformative	uninformative	0
Branched-chain amino acid transport system substrate-binding protein	proper	proper	2
DUF1391 domain-containing protein	low informative	low	1
Rieske domain-containing protein	proper	proper	2
Bis(5'-nucleosyl)-tetraphosphatase PrpE	proper	proper	2
3-ketoacyl-CoA synthase 17	proper	proper	2
KLD8B protein	proper	proper	2
PREDICTED: peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	proper	proper	2
Transposase ISL3 family protein	proper	proper	2
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	proper	proper	2
Stage 0 sporulation protein J	proper	proper	2
Cell wall hydrolase	proper	proper	2
Ogfod1	proper	proper	2
Nucleotidyltransferase, putative	proper	proper	2
Slipin family protein	proper	proper	2
Phage prohead protease protein	proper	proper	2
Avirulence-responsive family protein	proper	proper	2
DNA polymerase I, thermostable	proper	proper	2
Heat Shock Protein	proper	proper	2
Cytosolic Fe-S cluster assembly factor CFD1	proper	proper	2
ATP-dependent sacrificial sulfur transferase LarE	proper	proper	2
Kinase/phosphohydrolase	proper	proper	2
Demethylrebeccamycin-D-glucose O-methyltransferase	proper	proper	2
Asparagine synthase (Glutamine-hydrolyzing)	proper	proper	2
uncharacterized protein LOC113788412	uninformative	uninformative	0
ribonucleoside-diphosphate reductase subunit M2 B	proper	proper	2
NEDD4-binding protein 2 isoform X4	proper	proper	2
DNA methyltransferase 2	proper	proper	2
DNA / pantothenate metabolism flavoprotein	proper	proper	2
DUF771 domain-containing protein	low informative	low	1
ATP-dependent zinc metalloprotease FtsH 4	proper	proper	2
Unplaced genomic scaffold PAXINscaffold_405, whole genome shotgun sequence	uninformative	uninformative	0
Prophage PSPPH02, putative adenine modification methytransferase	proper	proper	2
Unplaced genomic scaffold SPHSTscaffold_123, whole genome shotgun sequence	uninformative	uninformative	0
WblE protein	proper	proper	2
SPFH domain / band 7 family protein	proper	proper	2
Alpha-2C adrenergic receptor	proper	proper	2
Head decoration protein	proper	proper	2
Vertebrate C1q and tumor necrosis factor-related protein-like protein	proper	proper	2
Proliferating cell nuclear antigen PcnA	proper	proper	2
ERI1 exoribonuclease 3	proper	proper	2
deoxycytidylate deaminase isoform X1	proper	proper	2
2-heptaprenyl-1,4-naphthoquinone methyltransferase	proper	proper	2
Gentamicin 3'-N-acetyltransferase	proper	proper	2
Phage head morphogenesis protein gp7	proper	proper	2
Kelch domain-containing 8A	proper	proper	2
Serine protease, subtilisin family	proper	proper	2
Phage Terminase family protein	proper	proper	2
Uracil-DNA glycosylase superfamily	proper	proper	2
uncharacterized protein LOC107793301 isoform X2	proper	uninformative	0
Late competence protein required for DNA binding and uptake	proper	proper	2
Glycosyl hydrolase family 9	proper	proper	2
Integrator complex subunit like	proper	proper	2
Hypothetical genomic island protein	uninformative	uninformative	0
SFRICE_015559	proper	uninformative	0
Arylacetamide deacetylase-like protein	proper	proper	2
Nitroreductase	proper	proper	2
Peptidase P60	proper	proper	2
Exonuclease, DNA polymerase III, epsilon subunit	proper	proper	2
Acyl-CoA dehydrogenase probable dibenzothiophene desulfurization enzyme	proper	proper	2
DUF444 family protein	low informative	low	1
kelch-like protein 2 isoform X3	proper	proper	2
ATP phosphoribosyltransferase	proper	proper	2
Putative host killing protein	proper	proper	2
Bacteriophage lambda gpa	proper	proper	2
Peptidase family S24	proper	proper	2
RNA ligase (TIGR02306 family)	proper	proper	2
Transposase and inactivated derivatives	proper	proper	2
Phage DNA methylase	proper	proper	2
FinTRIM family, member 79	proper	proper	2
GCN5 family N-acetyltransferase	proper	proper	2
DNA polymerase III beta subunit	proper	proper	2
ATP-dependent RNA helicase vasa	proper	proper	2
Leucine-rich repeat (LRR) protein	proper	low	1
kelch domain-containing protein 8B	proper	proper	2
Unplaced genomic scaffold CY34scaffold_1032, whole genome shotgun sequence	uninformative	uninformative	0
26S proteasome regulatory subunit 8-like A	proper	proper	2
RING-type domain-containing protein	proper	proper	2
Werner helicase interacting protein-like protein	proper	proper	2
Centaurin, alpha	proper	proper	2
Bacteriophage terminase small subunit TerS	proper	proper	2
Putative endopeptidase Clp	proper	proper	2
DNA damage-inducible protein D	proper	proper	2
Phage integrase: site-specific recombinase	proper	proper	2
Sporulation protein	proper	proper	2
Portal protein	proper	proper	2
SLAM family member 6 isoform X1	proper	proper	2
Gly-zipper_Omp domain-containing protein	proper	proper	2
N-terminal acetyltransferase complex ARD1 subunit-like protein A	proper	proper	2
Putative ArsR family transcriptional regulator	proper	proper	2
4-phospho-panto-thenoylcysteine synthetase	proper	proper	2
Heat shock protein 60, mitochondrial chaperonin, putative	proper	proper	2
Regulatory helix-turn-helix protein, lysR family	proper	proper	2
Heterochromatin-associated protein HP1 and related CHROMO domain proteins	proper	proper	2
Host cell factor 1	proper	proper	2
Putative hydrolase of the HAD superfamily	proper	proper	2
Type I toxin-antitoxin system SymE family toxin	proper	proper	2
Spermatogenesis associated 5-like 1	proper	proper	2
TCP-1/cpn60 chaperonin family protein	proper	proper	2
8-oxo-dGTP pyrophosphatase MutT, NUDIX family	proper	proper	2
uncharacterized protein LOC104246415	uninformative	uninformative	0
Transcriptional regulator, IclR family protein	proper	proper	2
SNF2 DNA repair protein, putative	proper	proper	2
P2 phage tail completion protein R (GpR)	proper	proper	2
ATP-dependent Clp endopeptidase proteolytic subunit ClpP	proper	proper	2
Oxysterol-binding protein homolog 3	proper	proper	2
DNA repair protein rad50	proper	proper	2
Band_7_C domain-containing protein	proper	proper	2
Transporter, CPA2 family protein	proper	proper	2
Phosphatidylinositol N-acetylglucosaminyltransferase gpi3 subunit	proper	proper	2
Prophage MuMc02, terminase, ATPase subunit, putative	proper	proper	2
Acylphosphatase	proper	proper	2
Phosphoribosyltransferase, putative	proper	proper	2
Predicted phage baseplate assembly protein	proper	proper	2
Mitochondrial 60 kDa heat shock protein	proper	proper	2
DNA polymerase V subunit UmuD	proper	proper	2
Protein kinase domain family protein	proper	proper	2
Rha family Phage regulatory protein	proper	proper	2
Flagellar assembly peptidoglycan hydrolase FlgJ	proper	proper	2
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	proper	proper	2
Mixed-linked glucanase	proper	proper	2
ARAD1B04510p	proper	uninformative	0
Integrase core domain	proper	proper	2
Phosphate starvation inducible protein	proper	proper	2
DUF4823 domain-containing protein	low informative	low	1
Kelch-like protein 25	proper	proper	2
Transcription elongation protein SprT	proper	proper	2
Uncharacterized protein DUF2163	low informative	low	1
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	proper	proper	2
Uncharacterized protein conserved in bacteria	uninformative	uninformative	0
NDP-sugar epimerase	proper	proper	2
Phage regulator Rha-like protein	proper	proper	2
Convicilin	proper	proper	2
Collar domain-containing protein	proper	proper	2
Regulatory protein GntR HTH	proper	proper	2
Flotillin-like	proper	proper	2
Bacteriophage lambda tail assembly I	proper	proper	2
ATP cone domain protein	proper	proper	2
Cupin domain-containing protein	proper	proper	2
Molecular chaperone Hsp90	proper	proper	2
Acm2 protein	proper	proper	2
Putative bacteriophage protein	uninformative	uninformative	0
Carcinoembryonic antigen-related cell adhesion molecule 1-like	proper	proper	2
Contig77, whole genome shotgun sequence	uninformative	uninformative	0
Chloroplast protein-transporting ATPase	proper	proper	2
Gluconate 5-dehydrogenase	proper	proper	2
ATPase involved in DNA repair, phage associated	proper	proper	2
UDP-4-amino-4, 6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	proper	proper	2
PF10761 family protein	proper	low	1
Putative enzyme with nucleoside triphosphate hydrolase domain	proper	proper	2
Terminase, small subunit	proper	proper	2
Replication factor C subunit 4-like protein	proper	proper	2
von Willebrand factor A	proper	proper	2
Kelch-like protein 6	proper	proper	2
Endogenous inhibitor of DNA gyrase (YacG/DUF329 family)	low informative	proper	2
Putative Gp10 V	proper	uninformative	0
Acetyltransferase protein	proper	proper	2
DNA mismatch repair protein MutT	proper	proper	2
Zinc finger/helix-turn-helix protein, YgiT family	proper	proper	2
uncharacterized protein	uninformative	uninformative	0
Uncharacterized protein, YkwD family	proper	uninformative	0
tRNA pseudouridine synthase B	proper	proper	2
Predicted phage-related endonuclease	proper	proper	2
Protein/band 7 family protein	proper	proper	2
VPDSG-CTERM domain-containing protein	proper	proper	2
CMP/dCMP-type deaminase domain-containing protein	proper	proper	2
Putative ADP-ribose pyrophosphatase/acetyltransferase	proper	proper	2
Kelch repeat-containing protein kel-10	proper	proper	2
Uncharacterized protein AlNc14C137G7127	uninformative	uninformative	0
Contig2, whole genome shotgun sequence	uninformative	uninformative	0
Gp43	uninformative	uninformative	0
Phosphoserine phosphatase 1	proper	proper	2
Glutamine amidotransferase class-II	proper	proper	2
SF3 helicase domain-containing protein	proper	proper	2
Putative bacteriophage domain protein	proper	uninformative	0
Tail fiber	proper	proper	2
Small major structural protein	proper	proper	2
Zmp:0000001301	proper	uninformative	0
Putative 2OG-Fe(II) oxygenase	proper	proper	2
Histone acetyltransferase	proper	proper	2
Acetyltransferase family protein	proper	proper	2
uncharacterized protein LOC110754071	uninformative	uninformative	0
P22_AR N-terminal domain	proper	proper	2
CTP synthase	proper	proper	2
Uncharacterized protein DUF4065	low informative	low	1
Putative nicotinamide N-methyase	proper	proper	2
O-acyl-ADP-ribose deacylase 1	proper	proper	2
Gp25	uninformative	uninformative	0
Polynucleotidyl transferase, ribonuclease H-like superfamily protein 1	proper	proper	2
DFP domain-containing protein	proper	proper	2
BTB/POZ domain protein	proper	proper	2
Phage tail fiber repeat family protein	proper	proper	2
Luc7-like protein 3	proper	proper	2
Ferritin-like superfamily	proper	proper	2
uncharacterized protein LOC113070496	uninformative	uninformative	0
Carrier domain-containing protein	proper	proper	2
Putative Phage integrase family protein	proper	proper	2
DNA repair protein rad5	proper	proper	2
5'-deoxynucleotidase I926_01435	proper	proper	2
Adenosine kinase	proper	proper	2
Ser/Thr phosphatase family protein	proper	proper	2
Heat-shock protein	proper	proper	2
Rpt-4 protein	proper	proper	2
Pyridoxal-phosphate dependent protein	proper	proper	2
tubulin epsilon chain isoform X4	proper	proper	2
Aste57867_25176 protein	proper	uninformative	0
dCTP deaminase related protein	proper	proper	2
IPTL-CTERM protein sorting domain-containing protein	proper	proper	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B	proper	proper	2
Putative Baseplate assembly protein W	proper	proper	2
CopG family transcriptional regulator	proper	proper	2
Replication factor C subunit 2 isoform 3	proper	proper	2
Lsr2 protein	proper	proper	2
DNA polymerase I	proper	proper	2
Ribonucleoside triphosphate reductase	proper	proper	2
Phosphatidylinositol N-acetylglucosaminyltransferase	proper	proper	2
Uncharacterized protein DUF1052	low informative	low	1
P-loop containing nucleoside triphosphate hydrolases superfamily protein	proper	proper	2
Related to Ribonucleoside-diphosphate reductase small chain	proper	proper	2
Major tail tube protein	proper	proper	2
Coagulation factor 5/8 type domain protein	proper	proper	2
Glutamine amidotransferase SNO family	proper	proper	2
Polyadenylate-specific 3'-exoribonuclease AS	proper	proper	2
CMP/dCMP deaminase zinc-binding protein (Modular protein)	proper	proper	2
Hydroxyacid dehydrogenase	proper	proper	2
Late control gene D protein	proper	proper	2
Sb5	proper	uninformative	0
PIF1 helicase Helicase	proper	proper	2
IS3 family transposase	proper	proper	2
Tumor necrosis factor ligand superfamily member 13	proper	proper	2
Bacteriophage HK97-gp10-like protein	proper	uninformative	0
ATP-dependent exoDNAse (Exonuclease V) beta subunit (Contains helicase and exonuclease domains)	proper	proper	2
Putative DNA repair and recombination protein RAD54B	proper	proper	2
Protein stichel-like 1	proper	proper	2
Putative Uncharacterized phosphosugar isomerase aq_1546	proper	proper	2
Protein cbbY, chromosomal	proper	proper	2
Fe superoxide dismutase	proper	proper	2
Host specificity protein J, internal	proper	proper	2
Terminase large subunit, C-terminal region	proper	proper	2
Asparagine synthetase [glutamine-hydrolyzing] (EC)	proper	proper	2
Type III restriction enzyme res	proper	proper	2
Synaptic vesicle membrane protein VAT-1 homolog	proper	proper	2
Ribosomal-protein-alanine acetyltransferase	proper	proper	2
Hca operon transcriptional activator	proper	proper	2
Putative N-acetyltransferase YjaB	proper	proper	2
Putative head-tail connector	proper	proper	2
ORF069	uninformative	uninformative	0
Protein of uncharacterized function (DUF1052)	low informative	low	1
Pilus assembly protein CpaC	proper	proper	2
Sec3-PIP2_bind domain-containing protein	proper	proper	2
Polyhydroxyalkanoate synthesis regulator phasin	proper	proper	2
GuKc domain-containing protein	proper	proper	2
ATP-dependent RNA helicase dhh1	proper	proper	2
Putative oxidoreductase subunit	proper	proper	2
Tmk protein	proper	proper	2
PrfB: peptide chain release factor	proper	proper	2
8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	proper	proper	2
mitochondrial genome maintenance exonuclease 1 isoform X4	proper	proper	2
Chaperonin GroL	proper	proper	2
Secretin GspD	proper	proper	2
CBS domain protein	proper	proper	2
Fe-S oxidoreductase	proper	proper	2
AT19489p	proper	uninformative	0
Uncharacterized protein involved in type VI secretion and phage assembly	proper	proper	2
Aspartyl/asparaginyl beta-hydroxylase (Cupin superfamily)	proper	proper	2
Smr domain protein	proper	proper	2
Insecticidal delta-endotoxin CryXXIIA(A)	proper	proper	2
Regulatory P domain of the subtilisin-like proprotein convertase	proper	proper	2
Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1	proper	proper	2
Cell wall-binding repeat-containing protein	proper	low	1
Ras guanine nucleotide exchange factor F	proper	proper	2
THO complex subunit 1	proper	proper	2
Endonuclease 2	proper	proper	2
Related to C.carbonum toxD protein	proper	proper	2
Transglycosylase	proper	proper	2
