protein_annotation	regex_label	manual_label	note
Putative DHH phosphatase family protein	proper	proper	
"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]"	proper	proper	
NAD(P)-dependent alcohol dehydrogenase	proper	proper	
DZANK-type domain-containing protein	proper	proper	
Fibroblast growth factor receptor homolog 2 (EC 2.7.10.1) (Protein breathless) (Tyrosine kinase 2) (dTk2) (Tyrosine kinase receptor HD-311) (dFGF-R1)	proper	proper	
Putative D-alanyl-D-alanine carboxypeptidase	proper	proper	
PhiEco32-like amidoligase-type 2 protein	proper	proper	
Putative prohibitin-1	proper	proper	
Terminase, ATPase subunit	proper	proper	
Major sperm protein	proper	proper	
BCS1-like protein	proper	proper	
MupS	proper	proper	
DepH	proper	proper	
GrpB domain, predicted nucleotidyltransferase, UPF0157 family	proper	proper	
Ubiquitin-like modifier-activating enzyme 1	proper	proper	
Resistance protein	proper	proper	
BMA-TAG-147, isoform a	proper	uninformative	
Type II methyltransferase M.BseCI (M.BseCI) (EC 2.1.1.72) (Adenine-specific methyltransferase BseCI) (Modification methylase BseCI)	proper	proper	
Probable N-terminal acetyltransferase complex subunit ARD1	proper	proper	
Proteasome component PRE3	proper	proper	
Omn10	proper	uninformative	in training data labeled as proper, but protein function no longer in UniProt
T-complex protein 1 subunit beta (CCT-beta)	proper	proper	
Phage tail tape-measure protein	proper	proper	
F-box/kelch-repeat protein SKIP20	proper	proper	
dCMP deaminase (EC 3.5.-.-)	proper	proper	
ATP-dependent DNA helicase Rep	proper	proper	
E1 ubiquitin-activating enzyme (EC 6.2.1.45)	proper	proper	
SLATT domain-containing protein	proper	uninformative	
Uncharacterized protein LOC111294752	uninformative	uninformative	
Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein	proper	proper	
Prophage tail fiber assembly protein TfaE	proper	proper	
MSHA biogenesis protein MshM	proper	proper	
Cps33K (Putative oligosaccharide repeat unit polymerase)	proper	proper	
Uncharacterized LOC111662152	proper	uninformative	
ARAD1A18392p	proper	uninformative	
Uncharacterized protein APE_1648.1	proper	uninformative	
Uncharacterized protein LOC106161170	uninformative	uninformative	
Putative dCMP deaminase	proper	proper	
HK97 family phage prohead protease (Possible phage protease, R. capsulatus GTA orfg4 homologue)	proper	proper	
Putative ATP-dependent helicase (EC 3.6.4.-)	proper	proper	
Exonuclease, DNA polymerase III, epsilon subunit	proper	proper	
Phage terminase small	proper	proper	
RNA polymerase sigma-70 factor expansion family 1	proper	proper	
CMP/dCMP deaminase, zinc-binding (Modular protein)	proper	proper	
Putative family GH19 chitinase	proper	proper	
ATP-binding domain-containing protein	proper	proper	
Uncharacterized protein LOC108255439 isoform X1	proper	uninformative	
KaiC family protein	proper	proper	
UDP-glucose 4-epimerase (EC 1.1.1.203)	proper	proper	
Putative Phosphopantothenate-cysteine ligase	proper	proper	
Putative oxidoreductase (EC 1.-.-.-)	proper	proper	
Hydrolase P-loop-like family protein	proper	proper	
Probable helicase CHR10 isoform X4	proper	proper	
Predicted phage recombinase, RecA/RadA family	proper	proper	
DnaB domain protein helicase domain protein	proper	proper	
Putative phd finger protein 20	proper	proper	
Small heat shock protein IbpA	proper	proper	
Uncharacterized 49.1 kDa protein in ND3 intron	proper	uninformative	
UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	proper	proper	
Antirestriction protein klcA	proper	proper	
Uncharacterized LOC107738300	proper	uninformative	
Contig An09c0170, genomic contig (EC 3.5.4.13)	proper	uninformative	
Tail tube protein gp19 (Gene product 19) (gp19)	proper	proper	
Phage terminase large subunit GpA	proper	proper	
AraC family transcriptional regulator (Modular protein)	proper	proper	
Protein F-like protein	proper	proper	
Riboflavin-specific deaminase-like protein	proper	proper	
DNA repair protein RAD51 homolog 4	proper	proper	
TATA box binding protein associated factor (TAF) histone-like fold domain-containing protein	proper	proper	
Prophage PSSSM-04	proper	uninformative	
HRDC domain-containing protein	proper	proper	
KLLA0E08119p	proper	proper	
Tail fiber-like repeat protein	proper	proper	
ASH protein	proper	proper	
LIM zinc-binding domain-containing protein	proper	proper	
Stress-responsive nuclear envelope family protein	proper	proper	
ATP-dependent DNA ligase (EC 6.5.1.1)	proper	proper	
DUF4231 domain-containing protein	low informative	low	
Leukocyte cell-derived chemotaxin-2-like	proper	proper	
Demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase (EC 2.1.1.163, EC 2.1.1.201)	proper	proper	
TLDc domain-containing protein	proper	proper	
Uncharacterized protein orf412	uninformative	uninformative	
DNA polymerase I, partial	proper	proper	
Antirepressor	proper	proper	
Deoxynucleotide monophosphate kinase (DNK) (dNMP kinase) (EC 2.7.4.13) (Gp1)	proper	proper	
HNHc nuclease	proper	proper	
Phage replisome organizer N-terminal domain protein	proper	proper	
CD83 antigen-like	proper	proper	
Oxalate decarboxylase OxdC (EC 4.1.1.2)	proper	proper	
NlpC/P60 family	proper	proper	
galacturonan 1,4-alpha-galacturonidase (EC 3.2.1.67)	proper	proper	
Dihydroanticapsin 7-dehydrogenase (EC 1.1.1.385)	proper	proper	
Phage-like element pbsx protein XkdS	proper	uninformative	
Gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase (EC 4.3.2.6) (Butirosin biosynthesis protein G)	proper	proper	
TSA: Wollemia nobilis Ref_Wollemi_Transcript_4152_2300 transcribed RNA sequence	proper	uninformative	
Transporter	proper	proper	
Abasic site processing protein (EC 3.4.-.-)	proper	proper	
Clcn7 protein	proper	proper	
5'(3')-deoxyribonucleotidase, mitochondrial-like	proper	proper	
Peptidase C39 domain-containing protein	proper	proper	
GP46	uninformative	uninformative	
Retinol dehydrogenase 8	proper	proper	
Integrase core domain	proper	proper	
Beta subunit of ribonucleotide reductase	proper	proper	
Putative deoxycytidylate deaminase-like Protein	proper	proper	
Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	proper	proper	
Recombination enhancement function domain protein (Ref family protein)	proper	proper	
Phosphodiester glycosidase family protein	proper	proper	
Filamentous haemagglutinin FhaB/tRNA nuclease CdiA-like TPS domain-containing protein	proper	proper	
N-acetylaspartylglutamate synthase (EC 6.3.2.41)	proper	proper	
DnaJ subfamily B member 4	proper	proper	
Z57r protein	proper	uninformative	
DUF1828 domain-containing protein	low informative	low	
Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)	proper	proper	
Ferredoxin reductase (EC 1.18.1.-)	proper	proper	
Exonuclease, putative	proper	proper	
1-aminocyclopropane-1-carboxylate deaminase (EC 4.4.1.15)	proper	proper	
DUF4283 domain-containing protein	low informative	low	
GMP synthase - Glutamine amidotransferase	proper	proper	
Kelch-like protein 17 isoform X2	proper	proper	
Putative calcium-activated chloride channel regulator 4-like	proper	proper	
DgyrCDS6298	proper	proper	
Carbohydrate binding domain-containing protein	proper	proper	
Pyridoxal 4-dehydrogenase (tPLDH) (EC 1.1.1.107)	proper	proper	
Putative AdoMet-dependent methyltransferase (EC 2.1.1.-)	proper	proper	
Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	proper	proper	
3Beta_HSD domain-containing protein	proper	proper	
Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	proper	proper	
PyrE-like protein	proper	proper	
DUF6351 domain-containing protein	low informative	low	
DUF4424 domain-containing protein	low informative	low	
Protein CdcH	proper	proper	
DOD-type homing endonuclease domain-containing protein	proper	proper	
D-tyrosyl-tRNA deacylase	proper	proper	
BspA family leucine-rich repeat surface protein	proper	proper	
Bifunctional DNA-directed RNA polymerase subunit beta-beta' (EC 2.7.7.6) (PEP)	proper	proper	
Probable transcriptional regulator protein, LysR family	proper	proper	
Ribosomal protein S27E	proper	proper	
Prophage MuMc02, virion morphogenesis protein	proper	proper	
7-carboxy-7-deazaguanine synthase	proper	proper	
Putative phage gp25 protein	proper	uninformative	
PGG domain-containing protein	proper	uninformative	
QbsD	proper	proper	
Uncharacterized protein AlNc14C1377G12919	uninformative	uninformative	
Peptidase, S24 family	proper	proper	
DNA-methyltransferase 3 alpha	proper	proper	
CO6A6	proper	proper	
DgyrCDS7900	proper	uninformative	
Phage tail protein (Putative Tail fiber protein H)	proper	proper	
Peptidoglycan peptidase	proper	proper	
D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	proper	proper	
Aliphatic sulfonates-binding protein	proper	proper	
ADP-heptose--LPS heptosyltransferase 2 (EC 2.-.-.-)	proper	proper	
Tubulin beta	proper	proper	
Phosphoribosyl pyrophosphate synthase-associated protein 1 isoform X1	proper	proper	
Bacteriophage HK97-gp10 putative tail-component	proper	proper	
Transcriptional regulator, lysR family	proper	proper	
Influenza virus NS1A-binding protein-like protein A	proper	proper	
YcgL	proper	uninformative	
Streptothricin acetyltransferase	proper	proper	
Flp pilus assembly protein CapC	proper	proper	
MarR family protein	proper	proper	
Protein PIF-like isoform X2	proper	proper	
DUF1257 domain-containing protein	low informative	low	
Beta-glucosidase	proper	proper	
Linocin-M18 (EC 3.4.-.-)	proper	proper	
Molecular chaperone GroEL	proper	proper	
ATP-dependent Clp protease ATP-binding subunit ClpC1	proper	proper	
Ribonucleoside-diphosphate reductase subunit M2 B isoform X2	proper	proper	
ComEB, Deoxycytidylate deaminase	proper	proper	
Ferredoxin-nitrate reductase	proper	proper	
gluconokinase (EC 2.7.1.12) (Gluconate kinase)	proper	proper	
DNA repair rad5	proper	proper	
DNA primase catalytic core	proper	proper	
Head-tail joining protein of prophage	proper	proper	
Citrate lyase holo-[acyl-carrier protein] synthase	proper	proper	
DUF3631 domain-containing protein	low informative	low	
Phosphopantothenoylcysteine synthase	proper	proper	
Dehydroprecondylocarpine acetate synthase (EC 1.1.1.-)	proper	proper	
DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135)	proper	proper	
DNA topoisomerase 2-alpha (Trinotate prediction)	proper	proper	
Phage prohead protease, HK97 family/phage major capsid protein, HK97 family,TIGR01554	proper	proper	
SPbeta prophage-derived uncharacterized protein YorR	proper	uninformative	
(pine wood nematode) hypothetical protein (RF_PROK_I domain-containing protein)	proper	proper	
3-oxo-Delta(4,5)-steroid 5-beta-reductase (EC 1.3.1.3) (Delta(4)-3-oxosteroid 5-beta-reductase) (Delta-4,5-steroid 5-beta-reductase) (At5beta-StR) (Progesterone 5-beta-reductase) (5beta-POR) (Protein VEIN PATTERNING 1)	proper	proper	
Putative DNA polymerase theta	proper	proper	
Putative Outer membrane lipoprotein	proper	proper	
M23 family peptidase	proper	proper	
Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	proper	proper	
Sodium/hydrogen exchanger 10-like	proper	proper	
Probable transcriptional regulator	proper	proper	
Laglidadg endonuclease	proper	proper	
Alginate O-acetyltransferase	proper	proper	
Uncharacterized protein LOC111295742 isoform X1	proper	uninformative	
Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	low informative	proper	
Related to Deoxycytidylate deaminase	proper	proper	
Protein export-enhancing factor	proper	proper	
Glycosyltransferase, group 1 family protein (EC 2.4.-.-)	proper	proper	
SECRETION ACTIVATOR protein	proper	proper	
DNA-binding IscR family transcriptional regulator	proper	proper	
Alpha-1,3/4-fucosidase (EC 3.2.1.51)	proper	proper	
Phosphoribosyl pyrophosphate synthase-associated protein 1	proper	proper	
Putative peptidoglycan-binding domain-containing protein	proper	proper	
Twinkle protein, mitochondrial-like isoform X3	proper	proper	
Export associated protein	proper	proper	
DUF4272 domain-containing protein	low informative	low	
Putative bacteriophage-like protein	uninformative	uninformative	
Phage-like putative tail protein	proper	proper	
WbmG	proper	proper	
Kelch K13 propeller domain	proper	proper	
HTH arsR-type domain-containing protein	proper	proper	
DUF3440 domain-containing protein	low informative	low	
SNF2 family N-terminal domain protein (EC 3.6.1.-)	proper	proper	
NifZ domain-containing protein	proper	proper	
D-arabinose 1-dehydrogenase-like Zn-dependent alcohol dehydrogenase	proper	proper	
Uncharacterized protein DUF3854	low informative	low	
Sodium/solute symporter	proper	proper	
SprT protein, putative	proper	proper	
Ubiquinone biosynthesis protein UbiJ	proper	proper	
Pullulanase secretion envelope PulD	proper	proper	
Candida glabrata strain CBS138 chromosome E complete sequence	proper	uninformative	
Peptidase S1 domain-containing protein	proper	proper	
DNA helicase/exodeoxyribonuclease V, alpha subunit (EC 3.1.11.5)	proper	proper	
Guanylate kinase/L-type calcium channel beta subunit domain-containing protein	proper	proper	
Putative antirepressor (Rha family transcriptional regulator)	proper	proper	
Glutamyl-tRNA amidotransferase subunit B	proper	proper	
F protein	proper	uninformative	
Phage tail sheath	proper	proper	
Gene Transfer Agent FAD/FMN-containing dehydrogenase ## ORFG13	proper	proper	
HSP90 family molecular chaperone-like protein	proper	proper	
Kappa-carrageenase (EC 3.2.1.83)	proper	proper	
Pyrimidine deaminase	proper	proper	
T-complex protein 1 subunit eta (CCT-eta)	proper	proper	
Cilia and flagella associated protein 74	proper	proper	
Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89)	proper	proper	
DnaJ subfamily B member 4-like	proper	proper	
Integrase domain-containing	proper	proper	
FLOT	proper	proper	
PARP9 polymerase	proper	proper	
Ribonucleotide reductase, alpha subunit	proper	proper	
Delta-aminolevulinic acid dehydratase	proper	proper	
TonB-dependent receptor	proper	proper	
Guanosine-3' 5'-bis(Diphosphate) 3'-pyrophosphohydrolase	proper	proper	
Bacteriophage HK620 O-antigen modification protein	proper	proper	
Gp33	uninformative	uninformative	
Putative nuclease of the RNAse H fold, HicB family	proper	proper	
Retinol dehydrogenase 8-like	proper	proper	
TipAS antibiotic-recognition domain-containing protein	proper	proper	
UPF0200 protein SSO1041	proper	low	
Guanosine polyphosphate pyrophosphohydrolase	proper	proper	
Uncharacterized protein LOC111016509	uninformative	uninformative	
UvrD-like helicase ATP-binding domain-containing protein	proper	proper	
Kelch-like 26	proper	proper	
Late competence operon required for DNA binding and uptake	proper	proper	
Carboxypeptidase-like regulatory domain-containing protein	proper	proper	
Replication factor C subunit 3/5	proper	proper	
Phosphoserine phosphatase (EC 2.7.7.65) (O-phosphoserine phosphohydrolase)	proper	proper	
DnaA N-terminal domain-containing protein	proper	proper	
Semaphorin-3C	proper	proper	
O-acetyl-ADP-ribose deacetylase 1	proper	proper	
Peptide chain release factor, chloroplastic	proper	proper	
Protein encoded in hypervariable junctions of pilus gene clusters	proper	uninformative	debatable, but being encoded amongst pilus genes does not 100% garantuee a related function
DNA primase/helicase (Toprim domain-containing protein)	proper	proper	
DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)	proper	proper	
FtsK/SpoIIIE family	proper	proper	
Dbo protein	proper	proper	
Checkpoint protein HUS1	proper	proper	
Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial	proper	proper	
Putative GNAT family acetyltransferase	proper	proper	
sulfate adenylyltransferase (EC 2.7.7.4)	proper	proper	
Packaging enzyme P4 (EC 3.6.1.15)	proper	proper	
Phosphinothricin acetyltransferase	proper	proper	
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase isoform X1	proper	proper	
Ribonucleotide-diphosphate reductase subunit alpha (EC 1.17.4.1)	proper	proper	
Histamine dehydrogenase	proper	proper	
AAC(6')-Ib (AAC(6')-Ib-cr aminoglycoside acetyltransferase) (Aminoglycoside 6'-N-acetyl transferase type Ib-cr) (Aminoglycoside N(6')-acetyltransferase) (Aminoglycoside adenylyltransferase) (Bifunctional AAC/APH) (Fluoroquinolone acetylating aminoglycoside-(6)-N-acetyltransferase) (Fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5) (Fluroquinolone acetylating aminoglycoside acetyltransferase)	proper	proper	
Lysozyme (N-acetylmuramidase) family (EC 3.2.1.17)	proper	proper	
AGAP001612-PA-like protein	proper	proper	
Phage integrase protein (Modular protein)	proper	proper	
ND5 group II intron protein	proper	proper	
V-set domain-containing T-cell activation inhibitor 1-like	proper	proper	
Prophage MuSo1, DNA transposition protein,putative	proper	proper	
Coagulation factor V	proper	proper	
Bifunctional exonuclease/endonuclease protein (EC 3.1.-.-)	proper	proper	
LANO_0H03510g1_1	proper	uninformative	
Prohead core protein	proper	proper	
Chromosome replication protein DnaC-like protein	proper	proper	
GDP-mannose pyrophosphatase (GDP-mannose hydrolase) (GDPMK)	proper	proper	
Exodeoxyribonuclease I	proper	proper	
Snf2 super family	proper	proper	
PASTA domain-containing protein	proper	proper	
5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein domain containing protein-like protein	proper	proper	
Phytanoyl-CoA dioxygenase domain-containing protein 1 (Protein PHYHD1) (EC 1.14.11.-)	proper	proper	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 isoform X7	proper	proper	
Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)	proper	proper	
Nicastrin	proper	proper	
Trehalose synthase (EC 2.4.1.245) (Trehalose-synthesizing glycosyltransferase)	proper	proper	
Oligoribonuclease NrnB/cAMP/cGMP phosphodiesterase (DHH superfamily)	proper	proper	
Phage antirepressor AntA/AntB	proper	proper	
Kelch-like protein 42	proper	proper	
Phage-like element PBSX protein xkdM	proper	proper	
Putative phage terminase	proper	proper	
Phage anti-termination	proper	proper	
DNA polymerase-3 subunit beta (EC 2.7.7.7)	proper	proper	
IPP protein	proper	proper	
Mlr8022 protein	proper	uninformative	
Alpha-amylase (EC 3.2.1.1)	proper	proper	
Transcription elongation factor SPT5	proper	proper	
SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	proper	proper	
Peptide chain release factor-like protein	proper	proper	
Riboflavin biosynthesis protein RibD	proper	proper	
N-acetyltransferase Pat (ssPat) (EC 2.3.1.-)	proper	proper	
Methyl-accepting chemotaxis protein PctB	proper	proper	
Glycoside hydrolase family 2	proper	proper	
STEC autoagglutinating adhesin	proper	proper	
Antitoxin SocA-like Panacea domain-containing protein	proper	proper	
Phage endonuclease VII	proper	proper	
Integrase catalytic domain	proper	proper	
Coenzyme A disulfide reductase	proper	proper	
ATPase complex subunit 6 (atp6) gene, mitochondrial gene encoding mitochondrial protein (Orf360 protein)	proper	proper	
Protein kinase domain-containing protein	proper	proper	
Bacterial surface protein	proper	low	
Metallopeptidase (SprT family)	proper	proper	
Bacteriophage-acquired protein	proper	uninformative	
Terminase small subunit G1P	proper	proper	
SprT-like family	proper	proper	
Transposase (01)	proper	proper	
Kelch-like protein 28 (inferred by orthology to a human protein)	proper	proper	
TrkA family protein	proper	proper	
Acyl-CoA binding protein 4	proper	proper	
Putative head portal protein	proper	proper	
Short-subunit dehydrogenase	proper	proper	
26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	proper	proper	
Peptidase M14 carboxypeptidase A	proper	proper	
Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	proper	proper	
Fungal-type protein kinase domain-containing protein	proper	proper	
Mitovirus RNA-dependent RNA polymerase	proper	proper	
Phosphoribosylpyrophosphate synthetase	proper	proper	
E3 ubiquitin-protein ligase WAV3	proper	proper	
MoeE5	proper	proper	
Tail fiber receptor-binding protein (Major tropism determinant protein)	proper	proper	
Acetyltransferase (GNAT) domain-containing protein	proper	proper	
Putative WD-40 repeat protein	proper	low	
ComE operon protein 2 (EC 3.5.4.-)	proper	proper	
Outer membrane protein beta-barrel domain-containing protein	proper	proper	
Protein disulfide-isomerase domain protein	proper	proper	
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.33) (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (hABH3) (DEPC-1) (Prostate cancer antigen 1)	proper	proper	
Putative N-acetyltransferase (EC 2.3.1.-)	proper	proper	
Putative baseplate J-like protein	proper	proper	
A/G-specific adenine glycosylase	proper	proper	
Regulatory protein, LacI	proper	proper	
Putative glucanase	proper	proper	
Mu tail sheath family protein	proper	proper	
Phi APSE P51-like protein	proper	uninformative	
Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	proper	proper	
Putative capsular polysaccharide biosynthesis protein	proper	proper	
Endopeptidase Clp	proper	proper	
Alpha-L-arabinofuranosidase B, catalytic	proper	proper	
DUF4102 domain-containing protein (Integrase family protein)	low informative	proper	
Tropinone reductase	proper	proper	
ATP cone domain protein	proper	proper	
GNAT family acetyltransferase protein	proper	proper	
Kelch-like protein 8 isoform X2	proper	proper	
ATP-dependent protease	proper	proper	
Minor tail protein M	proper	proper	
Putative mitochondrial chaperone BCS1-like	proper	proper	
PNKP adenylyltransferase domain-containing protein, ligase domain	proper	proper	
Syntaxin-related protein KNOLLE	proper	proper	
COG0553: Superfamily II DNA/RNA helicases, SNF2 family	proper	proper	
dUMP phosphatase	proper	proper	
DNA primase small subunit	proper	proper	
Cytochrome b mRNA maturase bI3	proper	proper	
FIST domain-containing protein	proper	proper	
Chitinase, class I (EC 4.2.2.-) (TIGR02594 family protein)	proper	proper	
Protein CBG02500	proper	uninformative	
Bacterial+Ig-like+domain+(Group+1)	proper	proper	
DNA repair photolyase (Radical SAM protein)	proper	proper	
Putative phage cell wall hydrolase	proper	proper	
DNA replication protein DnaC2	proper	proper	
50S ribosomal protein L10	proper	proper	
DNA replication protein DnaC, putative	proper	proper	
Sugar isomerase domain protein AgaS	proper	proper	
Collagen alpha-1(IX) chain-like	proper	proper	
Outer membrane lipoprotein carrier protein LolA	proper	proper	
Upf86.8	proper	uninformative	
Probable dihydrofolate reductase	proper	proper	
P3h1 protein	proper	proper	
ApaH protein	proper	proper	
N-GNAT family acetyltransferase	proper	proper	
Polysaccharide pyruvyl transferase domain-containing protein	proper	proper	
Pyridoxal-phosphate dependent enzyme	proper	proper	
Dihydrofolate reductase family protein	proper	proper	
Recombination protein ninB from phage origin	proper	proper	
Uncharacterized protein LOC109462622	uninformative	uninformative	
Putative L-alanyl-D-glutamate peptidase	proper	proper	
Rhomboid protein 1	proper	proper	
Putative 7-cyano-7-deazaguanine reductase	proper	proper	
Uncharacterized protein rth28	uninformative	uninformative	
26S proteasome regulatory subunit 8 homolog A-like	proper	proper	
DNA replication ATPase	proper	proper	
Methyltransferase type 11	proper	proper	
Ribosomal RNA large subunit methyltransferase N	proper	proper	
Estradiol 17-beta-dehydrogenase 1 isoform X3	proper	proper	
Pyruvate carboxyltransferase domain-containing protein	proper	proper	
Protein hedgehog (EC 3.1.-.-) [Cleaved into: Protein hedgehog N-product (Hh-Np) (N-Hh)]	proper	proper	
AAC(3)-I family aminoglycoside 3-N-acetyltransferase	proper	proper	
ATP-dependent Clp protease ATP-binding subunit ClpX (EC 3.4.21.92)	proper	proper	
Adagio-like protein 1	proper	proper	
Heat shock 60	proper	proper	
ATPase, ParA family	proper	proper	
Putative receptor-like protein kinase	proper	proper	
Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2	proper	proper	
Prophage, tail completion protein	proper	proper	
BNR repeat domain protein	proper	low	structural/chemical domain
BED-type domain-containing protein	proper	proper	
RING-type domain-containing protein	proper	proper	
StsF protein	proper	proper	
Prophage integrase IntS (Putative prophage CPS-53 integrase)	proper	proper	
Chromosome undetermined scaffold_2, whole genome shotgun sequence	uninformative	uninformative	
Conserved phage protein	uninformative	uninformative	
VTC domain-containing protein	proper	proper	
Acetyl- and succinyl-CoA transferase Rv0802c (EC 2.8.1.-)	proper	proper	
DNA repair ATPase	proper	proper	
GTP cyclohydrolase-2	proper	proper	
RNA polymerase sigma factor RpoE	proper	proper	
FAD-binding domain-containing protein	proper	proper	
"Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]"	proper	proper	
Uncharacterized protein, phage-related	uninformative	uninformative	
Sulfite reductase [NADPH] flavoprotein alpha-component-like FAD-binding domain-containing protein	proper	proper	
FtsZ-like protein (EC 3.6.1.-)	proper	proper	
Thymidylate synthase 1 isoform 5	proper	proper	
Sulfotransferase domain contining protein	proper	proper	
tRNA(Met) cytidine acetyltransferase	proper	proper	
DNA polymerase III, epsilon subunit-like protein	proper	proper	
Phage D3 protein	uninformative	uninformative	
Co-chaperone DjlA N-terminal domain-containing protein	proper	proper	
Acyl-CoA thioesterase-1	proper	proper	
Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	proper	proper	
Toxin-antitoxin system, toxin component, MazF family	proper	proper	
Transcriptional regulator ERF	proper	proper	
Death-on-curing family protein	proper	proper	
PcfK-like protein	proper	proper	
Putative peptidase	proper	proper	
LysR family carnitine catabolism transcriptional activator	proper	proper	
Polynucleotide 2 (Polynucleotide kinase-phosphatase)	proper	proper	
"Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15) (Histidinol-phosphate phosphatase); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]"	proper	proper	
Calcineurin-like phosphoesterase family protein	proper	proper	
Prophage LambdaSa1, antirepressor	proper	proper	
Preprotein translocase subunit TatB	proper	proper	
Putative thiamin pyrophosphokinase	proper	proper	
DNA helicase RecD	proper	proper	
Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)	proper	proper	
RecT	proper	proper	
DUF1463 domain-containing protein	low informative	low	
Strain DSM 12804, complete genome	proper	uninformative	
EsV-1-117	proper	uninformative	
Spermidine acetyltransferase	proper	proper	
Phage associated structural protein	proper	proper	
Cellulase	proper	proper	
Immunity protein 63 domain-containing protein	proper	proper	
Uncharacterized protein YfjX	uninformative	uninformative	
Uncharacterized protein LOC107415854 isoform X2	proper	uninformative	
Phage baseplate outer wedge protein (Acidic lysozyme), putative	proper	proper	
Sialidase	proper	proper	
Uncharacterized domain protein	uninformative	uninformative	
Putative Major capsid protein E	proper	proper	
N4bp2l1 protein	proper	proper	
Gamma-glutamylcyclotransferase family protein ytfP	proper	proper	
Baseplate Assembly protein W	proper	proper	
Putative kelch repeat-containing protein	proper	proper	
Prohead serine protease	proper	proper	
Putative thymidylate synthase (EC 2.1.1.45)	proper	proper	
Molecular chaperone	proper	proper	
